Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,3.370000,3.420000,3.030000,3.160000,3.160000,51827000
2021-04-05,3.190000,3.210000,2.910000,3.050000,3.050000,32690200
2021-04-06,2.950000,3.160000,2.880000,3.130000,3.130000,19015400
2021-04-07,3.040000,3.240000,2.990000,3.030000,3.030000,19808600
2021-04-08,3.030000,3.070000,2.960000,3.060000,3.060000,13497000
2021-04-09,3.010000,3.040000,2.920000,2.950000,2.950000,10617700
2021-04-12,2.900000,2.910000,2.650000,2.730000,2.730000,20712400
2021-04-13,2.760000,2.780000,2.660000,2.710000,2.710000,13051300
2021-04-14,2.880000,2.950000,2.730000,2.740000,2.740000,33830900
2021-04-15,2.770000,2.790000,2.460000,2.520000,2.520000,35367300
2021-04-16,2.420000,2.520000,2.310000,2.390000,2.390000,23216100
2021-04-19,2.350000,2.440000,2.250000,2.350000,2.350000,25082900
2021-04-20,2.330000,2.440000,2.250000,2.360000,2.360000,17349300
2021-04-21,2.280000,2.640000,2.230000,2.630000,2.630000,19987200
2021-04-22,2.720000,2.740000,2.530000,2.580000,2.580000,18274100
2021-04-23,2.550000,2.680000,2.490000,2.650000,2.650000,12133000
2021-04-26,2.720000,2.860000,2.660000,2.850000,2.850000,14037000
2021-04-27,2.920000,2.920000,2.770000,2.810000,2.810000,10867900
2021-04-28,2.800000,3.120000,2.730000,3.110000,3.110000,22637000
2021-04-29,3.150000,3.160000,2.920000,3.100000,3.100000,17221700
2021-04-30,2.950000,3.130000,2.910000,2.940000,2.940000,10297500
2021-05-03,2.980000,3.030000,2.820000,2.830000,2.830000,11757600
2021-05-04,2.720000,2.740000,2.480000,2.610000,2.610000,20999700
2021-05-05,2.690000,2.870000,2.640000,2.730000,2.730000,16108400
2021-05-06,2.740000,2.760000,2.550000,2.660000,2.660000,13417700
2021-05-07,2.630000,2.740000,2.610000,2.640000,2.640000,8645900
